time,o,h,l,c,volume,complete
2017-01-02 23:00:00,1.04684,1.04711,1.04567,1.04575,974,True
2017-01-03 00:00:00,1.04577,1.04712,1.04572,1.04662,481,True
2017-01-03 01:00:00,1.04665,1.04808,1.04646,1.04758,664,True
2017-01-03 02:00:00,1.04761,1.0478,1.04709,1.04721,392,True
2017-01-03 03:00:00,1.04718,1.04848,1.04715,1.04848,394,True
2017-01-03 04:00:00,1.04852,1.04898,1.0482,1.04884,285,True
2017-01-03 05:00:00,1.04886,1.04902,1.04816,1.04824,250,True
2017-01-03 06:00:00,1.04821,1.04892,1.04813,1.04882,368,True
2017-01-03 07:00:00,1.04885,1.04888,1.04536,1.04602,1639,True
2017-01-03 08:00:00,1.04606,1.04658,1.04207,1.04353,2830,True
2017-01-03 09:00:00,1.04356,1.04365,1.04002,1.04017,2456,True
2017-01-03 10:00:00,1.04015,1.04166,1.0396,1.03966,1781,True
2017-01-03 11:00:00,1.03964,1.03996,1.03812,1.03942,1787,True
2017-01-03 12:00:00,1.0394,1.03944,1.03752,1.03892,1735,True
2017-01-03 13:00:00,1.03894,1.03919,1.03818,1.03914,1320,True
2017-01-03 14:00:00,1.03912,1.04081,1.03848,1.03894,1396,True
2017-01-03 15:00:00,1.03894,1.03902,1.03406,1.03844,5116,True
2017-01-03 16:00:00,1.03846,1.04338,1.03786,1.04154,4713,True
2017-01-03 17:00:00,1.04152,1.04284,1.04101,1.04271,1054,True
2017-01-03 18:00:00,1.04269,1.04319,1.04136,1.0415,1095,True
2017-01-03 19:00:00,1.04148,1.0415,1.04054,1.04107,820,True
2017-01-03 20:00:00,1.0411,1.04173,1.0402,1.04021,943,True
2017-01-03 21:00:00,1.04018,1.0407,1.04018,1.0405,320,True
2017-01-03 22:00:00,1.04061,1.0413,1.0404,1.04093,414,True
2017-01-03 23:00:00,1.04094,1.0424,1.04094,1.04177,679,True
2017-01-04 00:00:00,1.04175,1.0418,1.03922,1.03946,1053,True
2017-01-04 01:00:00,1.03948,1.04022,1.03899,1.03936,1234,True
2017-01-04 02:00:00,1.03934,1.04064,1.03934,1.04056,842,True
2017-01-04 03:00:00,1.04054,1.04082,1.03979,1.04054,562,True
2017-01-04 04:00:00,1.04052,1.04095,1.04026,1.04026,376,True
2017-01-04 05:00:00,1.04028,1.04092,1.04018,1.04068,306,True
2017-01-04 06:00:00,1.04066,1.04146,1.03993,1.04061,622,True
2017-01-04 07:00:00,1.04063,1.04214,1.04056,1.04173,1372,True
2017-01-04 08:00:00,1.04176,1.04404,1.04153,1.04338,2308,True
2017-01-04 09:00:00,1.04335,1.04456,1.04282,1.04382,1835,True
2017-01-04 10:00:00,1.04379,1.0444,1.04272,1.04325,1721,True
2017-01-04 11:00:00,1.04328,1.04452,1.04274,1.04316,1572,True
2017-01-04 12:00:00,1.04312,1.04414,1.04236,1.04338,1619,True
2017-01-04 13:00:00,1.0434,1.04464,1.0428,1.04392,1783,True
2017-01-04 14:00:00,1.0439,1.04638,1.04368,1.04622,2858,True
2017-01-04 15:00:00,1.04625,1.04811,1.04536,1.04762,3061,True
2017-01-04 16:00:00,1.04765,1.04917,1.04715,1.04753,2124,True
2017-01-04 17:00:00,1.04751,1.04838,1.04694,1.04717,1025,True
